@RELATION offres_emploi_maroc

@ATTRIBUTE desc_length NUMERIC
@ATTRIBUTE word_count NUMERIC
@ATTRIBUTE is_remote {0,1}
@ATTRIBUTE has_education {0,1}
@ATTRIBUTE has_experience {0,1}
@ATTRIBUTE location {casablanca,rabat,marrakech,tanger,agadir,fes,mohammedia,sale,kenitra,autre}
@ATTRIBUTE category {IT_DEVELOPPEMENT,JURIDIQUE_DROIT,SANTE_MEDICAL,ENERGIE_ENVIRONNEMENT,TELECOM_RESEAUX,BATIMENT_CONSTRUCTION,ADMIN_SYSTEME_CLOUD,EDUCATION_FORMATION,COMMERCIAL_VENTE,MARKETING_COM,RESSOURCES_HUMAINES,COMPTABILITE_FINANCE,LOGISTIQUE_TRANSPORT,PRODUCTION_INDUSTRIE,ADMINISTRATIF_SUPPORT,MANAGEMENT_DIRECTION,DATA_IA,INGENIERIE,SPECIAL_AUTRES,AUTRE_SECTEUR}

@DATA
360,47,0,1,1,casablanca,COMMERCIAL_VENTE
364,53,0,0,0,casablanca,MANAGEMENT_DIRECTION
365,47,0,1,0,autre,PRODUCTION_INDUSTRIE
382,53,0,0,0,casablanca,DATA_IA
359,53,0,0,0,casablanca,SPECIAL_AUTRES
421,58,0,0,0,casablanca,DATA_IA
402,58,0,0,0,rabat,RESSOURCES_HUMAINES
333,44,0,0,0,casablanca,IT_DEVELOPPEMENT
350,46,1,0,0,casablanca,DATA_IA
379,46,0,0,0,rabat,TELECOM_RESEAUX
365,45,1,0,0,casablanca,SPECIAL_AUTRES
343,43,0,0,1,casablanca,IT_DEVELOPPEMENT
356,46,0,1,0,casablanca,SPECIAL_AUTRES
418,56,0,1,1,casablanca,INGENIERIE
404,54,0,0,1,casablanca,IT_DEVELOPPEMENT
391,54,0,0,0,casablanca,COMMERCIAL_VENTE
258,33,0,1,0,casablanca,SPECIAL_AUTRES
364,54,0,1,1,rabat,LOGISTIQUE_TRANSPORT
405,61,0,1,0,rabat,SPECIAL_AUTRES
290,39,0,0,0,casablanca,COMMERCIAL_VENTE
324,41,0,1,1,rabat,IT_DEVELOPPEMENT
412,53,0,1,1,rabat,SPECIAL_AUTRES
